transaction_id,transaction_date,Date_Brackets,transaction_time,Transaction time ,transaction_qty,store_location,product_id,unit_price,product_category,product_type,product_detail,Product Braket,Sales
1,1/1/2023,Jan,7:06:11 AM,Morning,2,Lower Manhattan,32,3.00,Coffee,Gourmet brewed coffee,Ethiopia Rg,Ethiopia,6.00
2,1/1/2023,Jan,7:08:56 AM,Morning,2,Lower Manhattan,57,3.10,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Spicy Eye Opener Chai,6.20
3,1/1/2023,Jan,7:14:04 AM,Morning,2,Lower Manhattan,59,4.50,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Dark chocolate,9.00
4,1/1/2023,Jan,7:20:24 AM,Morning,1,Lower Manhattan,22,2.00,Coffee,Drip coffee,Our Old Time Diner Blend Sm,Our Old Time Diner Blend,2.00
5,1/1/2023,Jan,7:22:41 AM,Morning,2,Lower Manhattan,57,3.10,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Spicy Eye Opener Chai,6.20
6,1/1/2023,Jan,7:22:41 AM,Morning,1,Lower Manhattan,77,3.00,Bakery,Scone,Oatmeal Scone,Oatmeal Scone,3.00
7,1/1/2023,Jan,7:25:49 AM,Morning,1,Lower Manhattan,22,2.00,Coffee,Drip coffee,Our Old Time Diner Blend Sm,Our Old Time Diner Blend,2.00
8,1/1/2023,Jan,7:33:34 AM,Morning,2,Lower Manhattan,28,2.00,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,Columbian Medium Roast,4.00
9,1/1/2023,Jan,7:39:13 AM,Morning,1,Lower Manhattan,39,4.25,Coffee,Barista Espresso,Latte Rg,Latte,4.25
10,1/1/2023,Jan,7:39:34 AM,Morning,2,Lower Manhattan,58,3.50,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,Dark chocolate,7.00
11,1/1/2023,Jan,7:43:05 AM,Morning,1,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Spicy Eye Opener Chai,2.55
12,1/1/2023,Jan,7:44:35 AM,Morning,2,Lower Manhattan,33,3.50,Coffee,Gourmet brewed coffee,Ethiopia Lg,Ethiopia,7.00
13,1/1/2023,Jan,7:45:51 AM,Morning,1,Lower Manhattan,51,3.00,Tea,Brewed Black tea,Earl Grey Lg,Earl Grey,3.00
14,1/1/2023,Jan,7:48:19 AM,Morning,1,Lower Manhattan,57,3.10,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Spicy Eye Opener Chai,3.10
15,1/1/2023,Jan,7:52:36 AM,Morning,2,Lower Manhattan,87,3.00,Coffee,Barista Espresso,Ouro Brasileiro shot,Ouro Brasileiro shot,6.00
16,1/1/2023,Jan,7:59:58 AM,Morning,2,Lower Manhattan,47,3.00,Tea,Brewed Green tea,Serenity Green Tea Lg,Serenity Green Tea,6.00
17,1/1/2023,Jan,7:59:58 AM,Morning,1,Lower Manhattan,79,3.75,Bakery,Scone,Jumbo Savory Scone,Jumbo Savory Scone,3.75
18,1/1/2023,Jan,8:00:18 AM,Morning,1,Hell's Kitchen,42,2.50,Tea,Brewed herbal tea,Lemon Grass Rg,Lemon Grass,2.50
19,1/1/2023,Jan,8:00:39 AM,Morning,2,Hell's Kitchen,59,4.50,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Dark chocolate,9.00
20,1/1/2023,Jan,8:11:45 AM,Morning,1,Hell's Kitchen,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Sustainably Grown Organic,4.75
21,1/1/2023,Jan,8:17:27 AM,Morning,2,Hell's Kitchen,33,3.50,Coffee,Gourmet brewed coffee,Ethiopia Lg,Ethiopia,7.00
22,1/1/2023,Jan,8:24:26 AM,Morning,2,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Spicy Eye Opener Chai,5.10
23,1/1/2023,Jan,8:24:26 AM,Morning,1,Lower Manhattan,69,3.25,Bakery,Biscotti,Hazelnut Biscotti,Hazelnut Biscotti,3.25
